Qty,Value,Device,Package,DIGI-KEY_PART_NUMBER,Cost ($) ,Qty,Total Cost,MANUFACTURER_PART_NUMBER,Parts,Description
2,INA199C2DCKT,INA199C2DCKT,DCK6_TEX,,,,,INA199C2DCKT,"U33, U34",
2,LM317LIPKG3,LM317LIPKG3,PK3_TEX,,,,,LM317LIPKG3,"U13, U14",
2,LM337LMX/NOPB,LM337LMX/NOPB,M08A_TEX,,,,,LM337LMX/NOPB,"U15, U18",
1,LP5907MFX-1.8/NOPB,LP5907MFX-1.8/NOPB,DBV5_TEX,,,,,LP5907MFX-1.8/NOPB,U11,
1,M-2X06-87759_M,M-2X06-87759_M,87759-12_M,,,,,,P1,MALE HEADER
1,M-2X10-87759_M,M-2X10-87759_M,87759-20_M,,,,,,P2,MALE HEADER
1,MAX5802,MAX5802BAUB+,21-0061L_MXM,,,,,MAX5802BAUB+,U17,
1,MAX6070BAUT21+T,MAX6070BAUT21+T,21-0058I_MXM,,,,,MAX6070BAUT21+T,U19,
1,MMBF4117,MMBF4117,SOT23,,,,,,Q1,mmbf4417 N-Channel switch with low leakage current
4,MOUNT-HOLE3.0,MOUNT-HOLE3.0,"3,0",,,,,,"H1, H2, H3, H4",MOUNTING HOLE with drill center marker
1,NLSX3018DTR2G,NLSX3018DTR2G,TSSOP20_4P50X6P60_ONS,,,,,NLSX3018DTR2G,U5,
4,OPA1662,OPA1662,DGK8,,,,,,"IC1, IC4, IC6, IC8",OPA1662AIDGKR
1,OPA202,OPA192IDBVR,DBV0005A_N,,,,,,U7,
1,OPALKELLY_XEM6310,OPALKELLY_XEM6310,OPALKELLY_XEM6010,,,,,,OK1,Opal Kelly XEM6010 USB/FPGA module
1,PD3S130,PD3S160,POWERDI323,,,,,,D1,1.0A SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER POWERDI ® 323
1,PJ-002B,PJ-002B,CUI_PJ-002B,,,,,,J2,"2.5 mm Center Pin, 2.5 A, Right Angle, Through Hole, Dc Power Jack Connector Check prices"
1,PJ-202AH,PJ-202AH,CUI_PJ-202AH,CP-202AH-ND,,,,,J1,"2.0 mm Center Pin, 5.0 A, Right Angle, Through Hole, Kinked Pins, Dc Power Jack Connector"
1,REF5025AIDR,REF5025AIDR,D8,,,,,REF5025AIDR,U8,
1,SRR4028-4R7Y,SRR4028-4R7Y,IND_BOURNS_SRR4028,,,,,SRR4028-4R7Y,L1,
1,UA78M05CDCYR,UA78M05CDCYR,DCY4_TEX,,,,,UA78M05CDCYR,U10,
